Date,Close/Last,Volume,Open,High,Low
01/08/2023,0.3307,N/A,0.2756,0.3444,0.2963
01/07/2023,0.2754,N/A,0.2769,0.2787,0.2746
01/06/2023,0.2771,N/A,0.2725,0.2803,0.2763
01/05/2023,0.2728,N/A,0.2666,0.277,0.2688
01/04/2023,0.2668,N/A,0.2639,0.2687,0.265
01/03/2023,0.2646,N/A,0.2526,0.2655,0.252
01/02/2023,0.2529,N/A,0.2494,0.2544,0.2521
01/01/2023,0.2494,N/A,0.2446,0.2504,0.2469
12/31/2022,0.2446,N/A,0.2449,0.2461,0.2442
12/30/2022,0.245,N/A,0.2442,0.2458,0.2444
12/29/2022,0.2445,N/A,0.2462,0.2453,0.2433
12/28/2022,0.2458,N/A,0.2552,0.2483,0.242
12/27/2022,0.2552,N/A,0.2633,0.2609,0.2542
12/26/2022,0.2633,N/A,0.2597,0.2662,0.263
12/25/2022,0.2597,N/A,0.2592,0.2623,0.2576
12/24/2022,0.2593,N/A,0.2596,0.2599,0.2588
12/23/2022,0.2597,N/A,0.2603,0.2603,0.2591
12/22/2022,0.2602,N/A,0.253,0.2635,0.2555
12/21/2022,0.2534,N/A,0.2497,0.2542,0.2523
12/20/2022,0.2506,N/A,0.2571,0.2591,0.2506
12/19/2022,0.2564,N/A,0.265,0.258,0.2513
12/18/2022,0.2656,N/A,0.2686,0.2694,0.2642
12/17/2022,0.2691,N/A,0.2617,0.271,0.2669
12/16/2022,0.2619,N/A,0.2991,0.2662,0.2588
12/15/2022,0.2996,N/A,0.3044,0.3007,0.2988
12/14/2022,0.3038,N/A,0.313,0.3086,0.3018
12/13/2022,0.3121,N/A,0.3041,0.3156,0.3116
12/12/2022,0.3034,N/A,0.3028,0.3075,0.3024
12/11/2022,0.3029,N/A,0.3137,0.3078,0.3013
12/10/2022,0.3128,N/A,0.3113,0.3143,0.3124
12/09/2022,0.3114,N/A,0.3141,0.3128,0.3111
12/08/2022,0.3136,N/A,0.3092,0.3158,0.3135
12/07/2022,0.3092,N/A,0.3175,0.3107,0.3075
12/06/2022,0.317,N/A,0.3191,0.3192,0.3161
12/05/2022,0.3194,N/A,0.3257,0.3211,0.3184
12/04/2022,0.325,N/A,0.3227,0.326,0.3214
12/03/2022,0.3183,N/A,0.3131,0.3212,0.3175
12/02/2022,0.319,N/A,0.3125,0.3212,0.3175
12/01/2022,0.3134,N/A,0.3173,0.316,0.3107
11/30/2022,0.3178,N/A,0.314,0.3196,0.3157
